Rodada,GS1T,GF1T,GS2T,GF2T,Casa,PosseFla,FinaTotal,CAFla,CVFla,FinaAdvTotal,CAAdv,CVAdv
22-CB-QUA1,0,0,0,0,1,72,9,1,0,1,3,0
22-CB-QUA2,0,0,0,1,0,67,4,1,0,5,1,0
22-CB-SEM1,0,1,1,2,0,59,3,0,0,10,0,0
22-CB-SEM2,0,1,0,0,1,49,5,0,0,5,1,0
22-CB-FI1,0,0,0,0,0,60,7,1,0,9,1,0
22-CB-FI2,0,1,1,0,1,44,6,2,0,4,2,0
21-CB-R1,0,1,0,0,0,71,8,1,0,4,0,0
21-CB-R2,0,1,0,1,1,73,16,0,0,0,3,0
21-CB-OIT1,0,4,0,2,1,72,14,0,0,0,3,0
21-CB-OIT2,0,0,0,1,0,73,9,0,0,3,3,0
21-CB-QUA1,0,0,0,4,0,52,4,3,1,7,1,0
21-CB-QUA2,0,0,0,2,1,67,6,2,0,7,4,0
21-CB-SEM1,0,1,2,1,0,57,4,1,0,5,0,0
21-CB-SEM2,2,0,1,0,1,74,8,1,0,3,2,0
20-CB-OIT1,0,1,0,0,0,58,6,0,0,5,0,0
20-CB-OIT2,1,2,1,1,1,69,7,2,0,1,1,0
20-CB-QUA1,0,0,2,1,1,47,8,0,0,0,1,0
20-CB-QUA2,0,0,3,0,0,67,8,0,0,2,0,0
19-CB-OIT1,0,0,0,1,0,62,5,1,0,3,0,0
19-CB-OIT2,0,0,0,1,1,55,6,0,0,4,0,0
19-CB-QUA1,0,0,1,1,0,47,4,1,0,9,0,0
19-CB-QUA2,0,0,1,1,1,59,5,2,0,2,2,0
23-RC-1,0,0,1,0,0,62,4,2,0,13,2,0
23-RC-2,0,0,0,1,1,64,11,3,0,1,2,0
20-RC-1,1,0,1,2,0,48,5,1,0,5,2,0
20-RC-2,0,1,0,2,1,28,6,1,1,2,0,0
23-SP,2,1,2,2,0,54,5,2,0,9,1,0
22-SP,1,0,1,2,0,45,6,0,0,7,2,0
21-SP,1,2,1,0,1,54,9,1,0,10,2,0
20-SP,0,2,0,1,1,59,6,0,0,4,0,0
22-MUN-SEM,2,1,1,1,1,61,8,4,1,2,1,0
22-MUN-4L,1,1,1,3,0,54,4,1,0,7,1,0
19-MUN-SEM,1,0,0,3,1,56,4,2,0,6,2,0
19-MUN-FI,0,0,0,0,0,58,6,0,0,3,1,0
24-CA-R1,0,3,0,1,1,60,14,0,0,4,0,0
